SectionItemGuid	SectionID	Ordinal	Level	Type	Number	MainText	GroupMember	GroupText	Condition	BranchIf	VariableName	ScreenTemplate	Arguments	VariableScope	Required	AbsMin	AbsMax	PromptUnder	PromptOver	LegalValueTable	ExternalValidation	ConfirmChange	HideNext	HideBack	ConfirmNext	ConfirmBack	MainTextColor	HelpText	OtherText1	OtherText1Color	OtherText2	OtherText2Color	OtherText3	OtherText3Color	Action1Event	Action1Type	Action1Argument	Action1Target	Action2Event	Action2Type	Action2Argument	Action2Target	Action3Event	Action3Type	Action3Argument	Action3Target	Action4Event	Action4Type	Action4Argument	Action4Target	Action5Event	Action5Type	Action5Argument	Action5Target	Action6Event	Action6Type	Action6Argument	Action6Target	Comment	OnBranch	OnChange	OnLoad	OnUnload	CustomValidation	CustomValidationFailMessage	Visible
0d77c052-5727-4f1d-999f-b032a28ede54	2	11	1	Question	8	Anote el sexo del paciente	0	NULL	NULL	NULL	sexo	RadioButtons	NULL	2	1	NULL	NULL	NULL	NULL	LV_SEXO	NULL	0	0	0	0	0	NULL	Debe indicacar el SEXO del paciente.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
4e63e314-4f2b-4f66-9ae7-66da8e686af8	2	12	1	Checkpoint	9	Si NO se encontró el paciente en la emergencia	NULL	NULL	@salaIngreso <> 6	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
7cbae02f-43b5-4fe9-a3be-72f67b8b8392	2	13	2	Question	9.1	Anote la fecha y hora de admisión al hospital	0	NULL	NULL	NULL	fechaHoraAdmision	DateTime	NULL	2	1	6/1/2007	NULL	NULL	NULL	NULL	EV.H1.FechaHoraAdmisionHospital	0	0	0	0	0	NULL	Debe seleccionar la FECHA Y HORA en que el paciente fue ADMITIDO al hosital.	NULL	NULL	NULL	NULL	NULL	NULL	Onchange	CallExternal	NULL	Action.Study.FechaHoraAdmision	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
ca1caab6-5f9b-4498-ba9b-b650e0d36bc9	2	14	2	Question	9.2	Anote el número de registro del hospital	0	NULL	NULL	NULL	registroTemporal	TextBox	NULL	2	0	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
114e498a-2f72-467f-a1ab-88620ff72606	2	15	1	Question	10	Anote la edad del paciente en años al momento de la admisión. Si es menor de 1 año, ponga 0.	0	NULL	NULL	NULL	edadAnios	Integer	NULL	2	1	0	130	NULL	85	NULL	NULL	1	0	0	0	0	NULL	Debe ingresar la Edad (en AÑOS) del paciente y el valor debe estar comprendido entre 0 y 100 años.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
16bb6be0-8219-48ac-afb9-5c6d25cee31e	2	16	1	Checkpoint	11	Si edad en años es igual 0	NULL	NULL	@edadAnios = 0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
a7d9542d-bf16-429f-90ee-0af7ef7c56e5	2	17	2	Question	11.1	Anote la edad del paciente en meses al momento de la admisión. Si es menor de 1 mes, ponga 0.	0	NULL	NULL	NULL	edadMeses	Integer	NULL	2	1	0	11	NULL	NULL	NULL	NULL	1	0	0	0	0	NULL	Debe ingresar la EDAD EN MESES del paciente ÚNICAMENTE si éste tiene CERO AÑOS.  La cantidad de MESES debe estar comprendida entre 0 y 11.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
afd4ba8d-c220-452f-9e92-5815c3e43cac	2	18	2	Checkpoint	11.2	Si meses igual 0	NULL	NULL	@edadMeses = 0	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
8acce1d4-5f5d-4dcf-b95d-0a0130f6036c	2	19	3	Question	11.2.1	Anote el edad del paciente en días al momento de la admisión.	0	NULL	NULL	NULL	edadDias	Integer	NULL	2	1	1	30	NULL	27	NULL	NULL	0	0	0	0	0	NULL	Si el bebe tiene mas de 28 dias, debe poner su edad como 1 mes.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
a4dc47f6-4558-48a8-ab98-6adafcc9530c	2	20	1	Checkpoint	12	Si la PDA está en Hospital de Cuilapa o Xela	NULL	NULL	"CurrentSubject.SiteCode = ""06-1"" OR CurrentSubject.SiteCode = ""09-1"""	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
2b83d1ff-ebdb-4fb9-82df-369f0adf02f5	2	21	2	Question	12.1	¿El paciente presenta indicaciones de enfermedad respiratoria?	0	NULL	NULL	NULL	presentaIndicacionRespira	RadioButtons	NULL	2	1	NULL	NULL	NULL	NULL	LV_SINO	NULL	1	0	0	0	0	NULL	Debe indicar si EL PACIENTE PRESENTÓ SINTOMAS RESPIRATORIOS.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
a1e2178d-1cff-450c-9196-8651cbd4a088	2	22	2	Checkpoint	12.2	Si tiene indicaciones de enfermedad respiratoria	NULL	NULL	@presentaIndicacionRespira = 1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
72448c35-ab2d-4b0c-a94f-a8bbb6554b66	2	23	3	Question	12.2.1	Seleccione la indicación de enfermedad respiratoria	0	NULL	NULL	NULL	indicacionRespira	DropDown	NULL	2	1	NULL	NULL	NULL	NULL	LV_INDICRESPIRA	NULL	0	0	0	0	0	NULL	Seleccione del listado que se le presenta uno de los SÍNTOMAS RESPIRATORIOS que haya padecido el paciente.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
575ab07d-80b1-46f4-a7f3-21c3789894a9	2	24	3	Checkpoint	12.2.2	Si seleccionó 'otra' como una indicación de enfermedad respiratoria	NULL	NULL	@indicacionRespira = 888	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
293967d8-8913-4d7c-a034-4de4615b6742	2	25	4	Question	12.2.2.1	Especifique qué otra indicación de enfermedad respiratoria tiene el paciente	0	NULL	NULL	NULL	indicacionRespira_otra	TextBox	NULL	4	1	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	NULL	Especifique la indicación de Respiratoria.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
5a83ce4d-f091-45e3-a662-6528736e5d45	2	26	2	Checkpoint	12.3	Si paciente tiene menos de 5 años	NULL	NULL	@edadAnios < 5	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
1eb7c978-451c-4405-877a-cddb941f064d	2	27	3	Question	12.3.1	¿El paciente presenta indicaciones de diarrea?	0	NULL	NULL	NULL	presentaIndicacionDiarrea	RadioButtons	NULL	2	1	NULL	NULL	NULL	NULL	LV_SINO	NULL	1	0	0	0	0	NULL	Debe contestar si EL PACIENTE PRESENTÓ INDICACIONES DE DIARREA.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
d3f3af07-c1eb-4959-9e9f-8266eb8de978	2	28	3	Checkpoint	12.3.2	Si tiene indicaciones de diarrea	NULL	NULL	@presentaIndicacionDiarrea = 1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
18343583-bc7b-4fad-8cf2-405282123a21	2	29	4	Question	12.3.2.1	Seleccione la indicación de diarrea	0	NULL	NULL	NULL	indicacionDiarrea	DropDown	NULL	4	1	NULL	NULL	NULL	NULL	LV_INDICDIARREA	NULL	1	0	0	0	0	NULL	Seleccione del listado que se le presenta una de las INDICACIONES DE DIARREA que haya padecido el paciente	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
8382122f-985f-4388-8faa-b985f8d7f552	2	30	4	Checkpoint	12.3.2.2	Si seleccionó 'otra' como una indicación de diarrea	NULL	NULL	@indicacionDiarrea = 888	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
8c3efdc7-ea57-4ce9-a502-44e28a574cb7	2	31	5	Question	12.3.2.2.1	Especifique qué otra indicación de diarrea tiene el paciente	0	NULL	NULL	NULL	indicacionDiarrea_otra	TextBox	NULL	4	1	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	NULL	Especifique la indicación de diarrea.	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
5d860450-7024-40c0-9a03-f2858f8ee587	2	32	2	Question	12.4	¿El paciente presenta indicaciones de enfermedad febril?	0	NULL	NULL	NULL	presentaIndicacionFebril	RadioButtons	NULL	2	1	NULL	NULL	NULL	NULL	LV_SINO	NULL	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
3a4dcb8e-c673-475e-bd19-6806d13137ef	2	33	2	Checkpoint	12.5	Si tiene indicaciones de enfermedad febril	NULL	NULL	@presentaIndicacionFebril = 1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
8bfdd574-ba74-4d1a-bfc8-0412ecf71c22	2	34	3	Question	12.5.1	Seleccione la indicación de enfermedad febril	0	NULL	NULL	NULL	indicacionFebril	DropDown	NULL	4	1	NULL	NULL	NULL	NULL	LV_INDICFEBRIL	NULL	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
ac1a66f6-ba24-4175-971b-04347697d4fe	2	35	3	Checkpoint	12.5.2	Si seleccionó 'otra' como una indicación de enfermedad febril	NULL	NULL	@indicacionFebril = 888	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
25adc6f6-a1b8-457b-909f-0670e3dadcd2	2	36	4	Question	12.5.2.1	Especifique qué otra indicación de enfermedad febril tiene el paciente	0	NULL	NULL	NULL	indicacionFebril_otra	TextBox	NULL	4	1	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
8007bb22-fe9b-44ee-b1a4-c0c609c03e9b	2	37	1	Checkpoint	13	Nunca preguntar (Neuro)	NULL	NULL	False	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Se dejará de hacer vigilancia de neuro a partir de la versión 11.	NULL	NULL	NULL	NULL	NULL	NULL	1
185aa2b2-5caa-46db-8cf2-3d9e8a881e88	2	38	2	Question	13.1	¿El paciente presenta indicaciones de enfermedad neurológica?	0	NULL	NULL	NULL	presentaIndicacionNeuro	RadioButtons	NULL	2	1	NULL	NULL	NULL	NULL	LV_SINO	NULL	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
e5aaf92e-0d9f-493c-8722-2f4780ebb7ff	2	39	2	Checkpoint	13.2	Si tiene indicaciones de enfermedad neurológica	NULL	NULL	@presentaIndicacionNeuro = 1	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
a924b7ca-1541-40a6-ae1c-24725d9c0ec6	2	40	3	Question	13.2.1	Seleccione la indicación de enfermedad neurológica	0	NULL	NULL	NULL	indicacionNeuro	DropDown	NULL	4	1	NULL	NULL	NULL	NULL	LV_INDICNEURO	NULL	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
60dab2f3-543b-4d90-b8b6-ce784bfd1ffd	2	41	3	Checkpoint	13.2.2	Si seleccionó 'otra' como una indicación de enfermedad neurológica	NULL	NULL	@indicacionNeuro = 888	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
