SectionItemGuid	questionnaire_set_name	questionnaire_name	section_name	Number	MainText	HelpText	ChangeType	Comments	VariableName	SectionID	Ordinal	Level	Visible	Type
7cbae02f-43b5-4fe9-a3be-72f67b8b8392	Hospital	H1 Sospechosos	H1 Sospechosos	9.1	Anote la fecha y hora de admisión al hospital	Debe seleccionar la FECHA Y HORA en que el paciente fue ADMITIDO al hosital.			fechaHoraAdmision	2	13	2	1	Question
ca1caab6-5f9b-4498-ba9b-b650e0d36bc9	Hospital	H1 Sospechosos	H1 Sospechosos	9.2	Anote el número de registro del hospital	NULL			registroTemporal	2	14	2	1	Question
114e498a-2f72-467f-a1ab-88620ff72606	Hospital	H1 Sospechosos	H1 Sospechosos	10	Anote la edad del paciente en años al momento de la admisión. Si es menor de 1 año, ponga 0.	Debe ingresar la Edad (en AÑOS) del paciente y el valor debe estar comprendido entre 0 y 100 años.			edadAnios	2	15	1	1	Question
16bb6be0-8219-48ac-afb9-5c6d25cee31e	Hospital	H1 Sospechosos	H1 Sospechosos	11	Si edad en años es igual 0	NULL			NULL	2	16	1	1	Checkpoint
a7d9542d-bf16-429f-90ee-0af7ef7c56e5	Hospital	H1 Sospechosos	H1 Sospechosos	11.1	Anote la edad del paciente en meses al momento de la admisión. Si es menor de 1 mes, ponga 0.	Debe ingresar la EDAD EN MESES del paciente ÚNICAMENTE si éste tiene CERO AÑOS.  La cantidad de MESES debe estar comprendida entre 0 y 11.			edadMeses	2	17	2	1	Question
afd4ba8d-c220-452f-9e92-5815c3e43cac	Hospital	H1 Sospechosos	H1 Sospechosos	11.2	Si meses igual 0	NULL			NULL	2	18	2	1	Checkpoint
8acce1d4-5f5d-4dcf-b95d-0a0130f6036c	Hospital	H1 Sospechosos	H1 Sospechosos	11.2.1	Anote el edad del paciente en días al momento de la admisión.	Si el bebe tiene mas de 28 dias, debe poner su edad como 1 mes.			edadDias	2	19	3	1	Question
a4dc47f6-4558-48a8-ab98-6adafcc9530c	Hospital	H1 Sospechosos	H1 Sospechosos	12	Si la PDA está en Hospital de Cuilapa o Xela	NULL			NULL	2	20	1	1	Checkpoint
2b83d1ff-ebdb-4fb9-82df-369f0adf02f5	Hospital	H1 Sospechosos	H1 Sospechosos	12.1	¿El paciente presenta indicaciones de enfermedad respiratoria?	Debe indicar si EL PACIENTE PRESENTÓ SINTOMAS RESPIRATORIOS.			presentaIndicacionRespira	2	21	2	1	Question
a1e2178d-1cff-450c-9196-8651cbd4a088	Hospital	H1 Sospechosos	H1 Sospechosos	12.2	Si tiene indicaciones de enfermedad respiratoria	NULL			NULL	2	22	2	1	Checkpoint
72448c35-ab2d-4b0c-a94f-a8bbb6554b66	Hospital	H1 Sospechosos	H1 Sospechosos	12.2.1	Seleccione la indicación de enfermedad respiratoria	Seleccione del listado que se le presenta uno de los SÍNTOMAS RESPIRATORIOS que haya padecido el paciente.			indicacionRespira	2	23	3	1	Question
575ab07d-80b1-46f4-a7f3-21c3789894a9	Hospital	H1 Sospechosos	H1 Sospechosos	12.2.2	Si seleccionó 'otra' como una indicación de enfermedad respiratoria	NULL			NULL	2	24	3	1	Checkpoint
293967d8-8913-4d7c-a034-4de4615b6742	Hospital	H1 Sospechosos	H1 Sospechosos	12.2.2.1	Especifique qué otra indicación de enfermedad respiratoria tiene el paciente	Especifique la indicación de Respiratoria.			indicacionRespira_otra	2	25	4	1	Question
5a83ce4d-f091-45e3-a662-6528736e5d45	Hospital	H1 Sospechosos	H1 Sospechosos	12.3	Si paciente tiene menos de 5 años	NULL			NULL	2	26	2	1	Checkpoint
1eb7c978-451c-4405-877a-cddb941f064d	Hospital	H1 Sospechosos	H1 Sospechosos	12.3.1	¿El paciente presenta indicaciones de diarrea?	Debe contestar si EL PACIENTE PRESENTÓ INDICACIONES DE DIARREA.			presentaIndicacionDiarrea	2	27	3	1	Question
d3f3af07-c1eb-4959-9e9f-8266eb8de978	Hospital	H1 Sospechosos	H1 Sospechosos	12.3.2	Si tiene indicaciones de diarrea	NULL			NULL	2	28	3	1	Checkpoint
18343583-bc7b-4fad-8cf2-405282123a21	Hospital	H1 Sospechosos	H1 Sospechosos	12.3.2.1	Seleccione la indicación de diarrea	Seleccione del listado que se le presenta una de las INDICACIONES DE DIARREA que haya padecido el paciente			indicacionDiarrea	2	29	4	1	Question
8382122f-985f-4388-8faa-b985f8d7f552	Hospital	H1 Sospechosos	H1 Sospechosos	12.3.2.2	Si seleccionó 'otra' como una indicación de diarrea	NULL			NULL	2	30	4	1	Checkpoint
8c3efdc7-ea57-4ce9-a502-44e28a574cb7	Hospital	H1 Sospechosos	H1 Sospechosos	12.3.2.2.1	Especifique qué otra indicación de diarrea tiene el paciente	Especifique la indicación de diarrea.			indicacionDiarrea_otra	2	31	5	1	Question
5d860450-7024-40c0-9a03-f2858f8ee587	Hospital	H1 Sospechosos	H1 Sospechosos	12.4	¿El paciente presenta indicaciones de enfermedad febril?	NULL			presentaIndicacionFebril	2	32	2	1	Question
3a4dcb8e-c673-475e-bd19-6806d13137ef	Hospital	H1 Sospechosos	H1 Sospechosos	12.5	Si tiene indicaciones de enfermedad febril	NULL			NULL	2	33	2	1	Checkpoint
8bfdd574-ba74-4d1a-bfc8-0412ecf71c22	Hospital	H1 Sospechosos	H1 Sospechosos	12.5.1	Seleccione la indicación de enfermedad febril	NULL			indicacionFebril	2	34	3	1	Question
ac1a66f6-ba24-4175-971b-04347697d4fe	Hospital	H1 Sospechosos	H1 Sospechosos	12.5.2	Si seleccionó 'otra' como una indicación de enfermedad febril	NULL			NULL	2	35	3	1	Checkpoint
25adc6f6-a1b8-457b-909f-0670e3dadcd2	Hospital	H1 Sospechosos	H1 Sospechosos	12.5.2.1	Especifique qué otra indicación de enfermedad febril tiene el paciente	NULL			indicacionFebril_otra	2	36	4	1	Question
8007bb22-fe9b-44ee-b1a4-c0c609c03e9b	Hospital	H1 Sospechosos	H1 Sospechosos	13	Nunca preguntar (Neuro)	NULL			NULL	2	37	1	1	Checkpoint
185aa2b2-5caa-46db-8cf2-3d9e8a881e88	Hospital	H1 Sospechosos	H1 Sospechosos	13.1	¿El paciente presenta indicaciones de enfermedad neurológica?	NULL			presentaIndicacionNeuro	2	38	2	1	Question
e5aaf92e-0d9f-493c-8722-2f4780ebb7ff	Hospital	H1 Sospechosos	H1 Sospechosos	13.2	Si tiene indicaciones de enfermedad neurológica	NULL			NULL	2	39	2	1	Checkpoint
a924b7ca-1541-40a6-ae1c-24725d9c0ec6	Hospital	H1 Sospechosos	H1 Sospechosos	13.2.1	Seleccione la indicación de enfermedad neurológica	NULL			indicacionNeuro	2	40	3	1	Question
60dab2f3-543b-4d90-b8b6-ce784bfd1ffd	Hospital	H1 Sospechosos	H1 Sospechosos	13.2.2	Si seleccionó 'otra' como una indicación de enfermedad neurológica	NULL			NULL	2	41	3	1	Checkpoint
98ff2f5a-7e12-4644-b859-b03fd17f9f49	Hospital	H1 Sospechosos	H1 Sospechosos	13.2.2.1	Especifique qué otra indicación de enfermedad neurológica tiene el paciente	NULL			indicacionNeuro_otra	2	42	4	1	Question
13776da1-b290-49e6-a1b0-546d1cc9016a	Hospital	H1 Sospechosos	H1 Sospechosos	14	¿El paciente está actualmente admitido o el médico ha dicho que será admitido al hospital?	NULL			actualAdmitido	2	43	1	1	Question
1348115c-2c4d-46d3-8f99-fe5fec71d098	Hospital	H1 Sospechosos	H1 Sospechosos	15	Si NO está admitido	NULL			NULL	2	44	1	1	Checkpoint
eb21fca5-faa8-44d1-b067-2161a360f7e3	Hospital	H1 Sospechosos	H1 Sospechosos	15.1	Anote la fecha en que el paciente salió del hospital o se murió	NULL			h1FechaEgreso	2	45	2	1	Question
c02bb30a-3e3a-40d7-a274-799f3d97cde2	Hospital	H1 Sospechosos	H1 Sospechosos	15.2	Anote el tipo de egreso del paciente	NULL			h1TipoEgreso	2	46	2	1	Question
7372a42b-47bd-430d-b348-29a7918927f1	Hospital	H1 Sospechosos	H1 Sospechosos	15.3	Si el paciente fue transferido	NULL			NULL	2	47	2	1	Checkpoint
bcaea797-ca6f-46aa-865a-a57c71179ba4	Hospital	H1 Sospechosos	H1 Sospechosos	15.3.1	¿A cuál hospital fue transferido?	NULL			h1TipoEgresoTransferido	2	48	3	1	Question
6e20cd9c-e4c3-432b-a793-bafc670c14a5	Hospital	H1 Sospechosos	H1 Sospechosos	15.3.2	Si el hospital es OTRO	NULL			NULL	2	49	3	1	Checkpoint
f4dfe9dd-e3fb-4353-adc4-0c8e88338775	Hospital	H1 Sospechosos	H1 Sospechosos	15.3.2.1	Especifique el hospital:	NULL			h1TipoEgresoTransferido_esp	2	50	4	1	Question
2c249a4e-2cc7-493f-adb9-55347f9d72cd	Hospital	H1 Sospechosos	H1 Sospechosos	15.4	Si el paciente no se murió	NULL			NULL	2	51	2	1	Checkpoint
2950cea5-00d0-4ac1-99e4-4f381e0881ef	Hospital	H1 Sospechosos	H1 Sospechosos	15.4.1	¿En qué condición estaba el paciente cuando salió del hospital?	NULL			condicionEgreso	2	52	3	1	Question
c20d22b8-c130-4954-bb09-2ba4a79f2f67	Hospital	H1 Sospechosos	H1 Sospechosos	15.5	El paciente no está admitido por lo que no será incluido en ViCo.	NULL			NULL	2	53	2	1	Info
8e21fc63-4bc1-43ae-b453-9a4b0706ab88	Hospital	H1 Sospechosos	H1 Sospechosos	16	Si NO tiene ninguna indicación de alguna enfermedad	NULL			NULL	2	54	1	1	Checkpoint
168582ad-3138-46c6-b126-626176ad040c	Hospital	H1 Sospechosos	H1 Sospechosos	16.1	El paciente no tiene ninguna indicación de alguna enfermedad por lo que no será incluido en ViCo.	NULL			NULL	2	55	2	1	Info
85f96203-b18d-4420-8a14-fc60ad8e8694	Hospital	H1 Sospechosos	H1 Sospechosos	17	Si NO viene del área de captación	NULL			NULL	2	56	1	1	Checkpoint
c26ba102-234a-4ab2-85a5-e3dd148c259e	Hospital	H1 Sospechosos	H1 Sospechosos	17.1	El paciente NO viene del área de captación por lo que no será incluido en ViCo.  .	NULL			NULL	2	57	2	1	Info
90b1b4ce-094a-4749-b8ba-b0420f86a86a	Hospital	H1 Sospechosos	H1 Sospechosos	NULL	Número del expediente del paciente	NULL			numeroExpedientePaciente	2	0	1	1	Variable
2fd1c169-0504-4aeb-94bf-1bd9bcf8fb53	Hospital	H2 Inscripción	Consentimiento Verbal	1	¿Recibió consentimiento verbal del paciente o tutor?	Debe indicar si el paciente o persona responsable de éste dio el CONSENTIMIENTO VERBAL para ser incluido en el estudio.			consentimientoVerbal	4	1	1	1	Question
57a2bced-efc2-47ad-8777-df31ce18f491	Hospital	H2 Inscripción	Consentimiento Verbal	2	Si no recibió consentimiento verbal	NULL			NULL	4	2	1	1	Checkpoint
85b0c76d-cb83-4346-9028-9813e20c9920	Hospital	H2 Inscripción	Consentimiento Verbal	2.1	Especifique razón(es) por la que NO se dio consentimiento	Especifique la razón por la que NO se  dio consentimiento.				4	3	2	1	Question
fb14a645-9983-4349-84ab-21d64c22c67a	Hospital	H2 Inscripción	Consentimiento Verbal	2.2	Si una razón por la que no no se dio consentimiento es 'Otra'	NULL			NULL	4	4	2	1	Checkpoint
2180f77e-5569-4292-a152-b91bfb5438a3	Hospital	H2 Inscripción	Consentimiento Verbal	2.2.1	Especifique la otra razón	NULL			consentimientoVerbalNoRazon_esp	4	5	3	1	Question
93aad632-4336-4a67-827f-3562816be7d1	Hospital	H2 Inscripción	Consentimiento Verbal	2.3	El paciente no va a participar en el estudio de ViCo.   Agradezca a la persona por el tiempo y la información que compartió con nosotros.	NULL			NULL	4	6	2	1	Info
	Hospital	H2 Inscripción	Revisión del Expediente Médico	1	Anote si una temperatura fue registrada al ingreso al hospital	NULL	addition		tempmax_ingr_reg	5	1	1	1	Question
	Hospital	H2 Inscripción	Revisión del Expediente Médico	2	Si fue registrada una temperatura al ingreso al hospital		addition			5	2	1	1	Checkpoint
	Hospital	H2 Inscripción	Revisión del Expediente Médico	2.1	Enfermera: Anote la temperatura máxima del paciente al ingreso al hospital		addition		tempmax_ingr	5	3	2	1	Question
deeff627-bf53-49ba-8a5e-4c168b5e1f4a	Hospital	H2 Inscripción	Revisión del Expediente Médico	3	Anote si una temperatura fue registrada en las primeras 24 horas de admisión	Debe indicar si al paciente se le tomó la temperatura medida EN LAS PRIMERAS 24 HORAS DE ADMISIÓN.			medirTemperaturaCPrimeras24Horas	5	4	1	1	Question
8bac5c97-70fc-4728-a5ed-0e30432c3f43	Hospital	H2 Inscripción	Revisión del Expediente Médico	4	Si fue registrada una temperatura en las primeras 24 horas de admisión	NULL			NULL	5	5	1	1	Checkpoint
01277398-ab7b-4b6d-aca9-adf2effccc1a	Hospital	H2 Inscripción	Revisión del Expediente Médico	4.1	Anote la temperatura (ºC) más alta registrada durante las primeras 24 horas de admisión	Si la temperatura no fue registrada y no han pasado mas de 24 horas de admision debe tomar la temperatura del pacinete y anotarla en su PDA.			temperaturaPrimeras24Horas	5	6	2	1	Question
a8223a91-951e-4d67-80b1-44e0dcfb228c	Hospital	H2 Inscripción	Revisión del Expediente Médico	5	Si tiene indicación de diarrea, es menor de 5 años y está en Hospital de Cuilapa o Xela	NULL			NULL	5	7	1	1	Checkpoint
58971af3-0c7b-41fa-8708-5f0257ba155e	Hospital	H2 Inscripción	Revisión del Expediente Médico	5.1	Anote si el niño ingresó con Plan B (rehidratación oral o por via nasogástrica) o Plan C (rehidratación con suero intravenoso)	NULL			ingresoPlanBPlanC	5	8	2	1	Question
315acb9d-a801-46f6-9435-cbefedc8905d	Hospital	H2 Inscripción	Revisión del Expediente Médico	5.2	Anote si el grado de deshidratación del niño fue registrado	NULL			gradoDeshidratacionRegistrado	5	9	2	1	Question
7d7fd28e-7596-4d12-a12c-3e44d77ff510	Hospital	H2 Inscripción	Revisión del Expediente Médico	5.3	Si está anotado el grado de deshidratación	NULL			NULL	5	10	2	1	Checkpoint
931bc3ec-e549-4c2d-a379-319271601fbc	Hospital	H2 Inscripción	Revisión del Expediente Médico	5.3.1	Anote el grado de deshidratación registrado en el expediente	NULL			gradoDeshidratacion	5	11	3	1	Question
f156f312-3ca2-4686-b47b-0219f846578b	Hospital	H2 Inscripción	Revisión del Expediente Médico	6	Anote si el paciente tiene resultados de hematología	NULL			tieneResultadoHematologia	5	12	1	1	Question
d63d88d8-2b38-4835-906d-72b53c3838bb	Hospital	H2 Inscripción	Revisión del Expediente Médico	7	Si el paciente tiene resultado de hematología	NULL			NULL	5	13	1	1	Checkpoint
3afb18ce-b14a-4a41-958d-37eb66fc7680	Hospital	H2 Inscripción	Revisión del Expediente Médico	7.1	Anote el primer conteo de glóbulos blancos (conteo/cm³)	Debe buscar en el registro medico o laboratoria cuál fue el primer resultado de conteo de globulos blancos.			conteoGlobulosBlancos	5	14	2	1	Question
322239ea-1556-4b19-9a19-96d78c7233e5	Hospital	H2 Inscripción	Revisión del Expediente Médico	7.2	Anote si hubo un diferencial anormal	Debe indicar si el diferencial de los globulos blancos reportados en la pregunte anterior es anormal.			diferencialAnormal	5	15	2	1	Question
dbe5777d-6333-4fe6-b223-cff54f8d593f	Hospital	H2 Inscripción	Revisión del Expediente Médico	8	Anote si se registraron en el expediente anormalidades en el examen de los pulmones, como: rales, roncus, crepitancias, estetores, sibilancias o estridores	NULL			resultadoAnormalExamenPulmones	5	16	1	1	Question
71892814-10a1-4169-8458-ee4a4f1a912d	Hospital	H2 Inscripción	Revisión del Expediente Médico	9	Si la PDA está en Hospital de Cuilapa o Xela	NULL			NULL	5	17	1	1	Checkpoint
2051521b-2fc3-4f49-ada7-9f82b7d0878b	Hospital	H2 Inscripción	Revisión del Expediente Médico	9.1	Anote si una tasa de respiración por minuto fue registrada en las primeras 24 horas de admisión	Debe indicar si al paciente se le tomó la taza de respiración EN LAS PRIMERAS 24 HORAS DE ADMISIÓN.			medidaRespiraPorMinutoPrimeras24Horas	5	18	2	1	Question
52af0bfe-358b-4d91-9615-8a88c2b9e132	Hospital	H2 Inscripción	Revisión del Expediente Médico	9.2	Si fue registrada la respiración por minuto en las primeras 24 horas de admisión	NULL			NULL	5	19	2	1	Checkpoint
2de9dfbf-eab4-4e8b-837c-71fbc3bf2637	Hospital	H2 Inscripción	Revisión del Expediente Médico	9.2.1	Anote la respiración por minuto más alta registrada durante las primeras 24 horas de admisión	Debe buscar en el registro medico cuál es la respiración por minuto mas alta registrada durante las primeras 24 horas de admisión.			respiraPorMinutoPrimaras24Horas	5	20	3	1	Question
c5107aa0-50c6-4032-9909-a1c88ad28637	Hospital	H2 Inscripción	Revisión del Expediente Médico	10	Nunca preguntar (Neuro)	NULL			NULL	5	21	1	1	Checkpoint
aba5b0ad-bd66-473b-9dff-4a646620b5bb	Hospital	H2 Inscripción	Revisión del Expediente Médico	10.1	¿Se hizo una punción lumbar? (esperar máximo 3 días)	NULL			puncionLumbar	5	22	2	1	Question
5d20088d-de49-4625-9831-01891ad06996	Hospital	H2 Inscripción	Revisión del Expediente Médico	10.2	¿Se hizo una tomografía de la cabeza?	NULL			tomografiaCabeza	5	23	2	1	Question
ace36089-6828-4e3e-bfab-d2950e93c001	Hospital	H2 Inscripción	Revisión del Expediente Médico	10.3	Si hay una tomografía de la cabeza	NULL			NULL	5	24	2	1	Checkpoint
8372b1fd-2bc7-4832-aec1-bb0e5a813df7	Hospital	H2 Inscripción	Revisión del Expediente Médico	10.3.1	¿Cómo salió el resultado de la tomografía? (Conclusión)	NULL			tomografiaCabezaResultado	5	25	3	1	Question
	Hospital	H2 Inscripción	Revisión del Expediente Médico	11	Anote si está registrado que el paciente presento apnea	Debe buscar en el registro medico si el paciente tiene historia de apnea	addition		historiaApnea	5	26	1	1	Question
	Hospital	H2 Inscripción	Revisión del Expediente Médico	12	Anote si está registrado que el paciente ha presentado cianosis (incluye cianosis durante un episodio de tos o tos cianotizante)	Debe buscar en el registro medico si el paciente presento cianosis durante un acceso de tos	addition		Historiacianosis	5	27	1	1	Question
	Hospital	H2 Inscripción	Revisión del Expediente Médico	13	Anote si está registrado que el paciente ha tenido “tos paroxística” o en “accesos”	Debe buscar en el registro medico si el paciente ha tenido “tos paroxística” o en “accesos”	addition		HistoriaParoxismos	5	28	1	1	Question
	Hospital	H2 Inscripción	Revisión del Expediente Médico	14	Anote si está registrado en el expediente que el paciente presenta Estridor Inspiratorio	Debe buscar en el registro medico si el paciente ha presentado Estridor Inspiratorio	addition		HistoriaWhoop	5	29	1	1	Question
	Hospital	H2 Inscripción	Revisión del Expediente Médico	15	Anote si está registrado en el expediente que el paciente presenta Vómito postusivo	Debe buscar en el registro medico si el paciente ha presentado Vomitos Postusivo	addition		historiaVomitoPostusivo	5	30	1	1	Question
d7623536-9081-4369-a78a-e1dc212e99a5	Hospital	H2 Inscripción	Común	1	Ahora va a entrevistar al paciente, o a su padre/tutor si es menor de edad. Por favor, diga al paciente o a su padre/tutor que quiere hacerle varias preguntas que serviran para ver si es elegible para participar en este estudio.	NULL			NULL	6	1	1	1	Info
56a4cb22-7971-4b04-a1f3-342e75fb42d2	Hospital	H2 Inscripción	Común	2	Verifique los primeros nombres del paciente	Debe ingresar los dos nombres del paciente si los tiene disponibles			nombres	6	2	1	1	Question
aab11c20-46ce-4131-b32b-c33392284e78	Hospital	H2 Inscripción	Común	3	Verifique los apellidos del paciente	Debe ingresar los dos apellidos del paciente si los tiene disponibles.			apellidos	6	3	1	1	Question
700cbb98-cfa9-40f5-a18d-656cdcd6c0f1	Hospital	H2 Inscripción	Común	4	Si la PDA está en IGSS Zona 9	NULL			NULL	6	4	1	1	Checkpoint
384a7a14-3197-4003-b349-8663becb8136	Hospital	H2 Inscripción	Común	4.1	Verifique el número de afiliación al IGSS	NULL			IGSSAfiliacion	6	5	2	1	Question
bfdad356-60d7-4bf0-88d7-fa4c0645e27b	Hospital	H2 Inscripción	Común	5	Si se encontró al paciente en la emergencia	NULL			NULL	6	6	1	1	Checkpoint
298158ed-c3c4-4c2f-86c7-84a487ddb24d	Hospital	H2 Inscripción	Común	5.1	Verificar la fecha y hora de admisión a este hospital	Debe seleccionar la FECHA Y HORA en que el paciente fue ADMITIDO al hosital.			fechaHoraAdmision	6	7	2	1	Question
1f077d30-4f61-4d76-9d5d-9fc0b9fb2f04	Hospital	H2 Inscripción	Común	5.2	Verificar el número de registro del hospital	NULL			registroTemporal	6	8	2	1	Question
0fbf19e3-3d9e-42a4-afcd-8b3bb810b127	Hospital	H2 Inscripción	Común	6	Verifique la edad en años al momento de la admisión.	Debe ingresar la Edad (en AÑOS) del paciente y el valor debe estar comprendido entre 0 y 100 años.			edadAnios	6	9	1	1	Question
1ce47b1a-d799-4a05-9990-0f54bd48f366	Hospital	H2 Inscripción	Común	7	Si edad en años es igual a 0	NULL			NULL	6	10	1	1	Checkpoint
d362689b-baa5-481b-b7c4-b76f3e740a86	Hospital	H2 Inscripción	Común	7.1	Verifique edad en meses al momento de la admisión.	Debe ingresar la EDAD EN MESES del paciente ÚNICAMENTE si éste tiene CERO AÑOS.  La cantidad de MESES debe estar comprendida entre 0 y 11.			edadMeses	6	11	2	1	Question
f852b3b9-fdf3-4650-9d7a-9b59f962eb3c	Hospital	H2 Inscripción	Común	7.2	Si meses es igual 0	NULL			NULL	6	12	2	1	Checkpoint
24b76993-92c3-4aaf-b0ab-98560cd6e017	Hospital	H2 Inscripción	Común	7.2.1	Verifique edad en días al momento de la admisión.	Si el bebe tiene mas de 28 dias, debe poner su edad como 1 mes.			edadDias	6	13	3	1	Question
86907563-fd8d-4663-a0cb-b72607bfdb91	Hospital	H2 Inscripción	Común	8	¿Cuál es su fecha de nacimiento?	Debe indicar la FECHA DE NACIMIENTO del paciente. Recuerde que debe ingresar la fecha correctamente ya que ésta se verificará contra la EDAD en AÑOS o MESES ingresada previamente.			fechaDeNacimiento	6	14	1	1	Question
a444c3f7-1621-4486-8d39-cbfbcda8e42c	Hospital	H2 Inscripción	Común	9	¿Cómo determinó la fecha de nacimiento?	NULL			fechaDeNacimientoDetermino	6	15	1	1	Question
33e4e527-d912-4324-b80b-1c804f0ec996	Hospital	H2 Inscripción	Común	10	Verifique sexo del paciente	Debe indicacar el SEXO del paciente.			sexo	6	16	1	1	Question
540d5699-61bb-4b20-a2c0-33e81b285129	Hospital	H2 Inscripción	Común	11	Verifique el departamento del paciente	Seleccione del listado el DEPARTAMENTO en donde reside el paciente.			departamento	6	17	1	1	Question
8731f205-73a8-47b1-8f1d-2a1f6854a74b	Hospital	H2 Inscripción	Común	12	Verifique el municipio del paciente	Seleccione del listado el MUNICIPIO en donde reside el paciente.			municipio	6	18	1	1	Question
4ff19aea-00e4-4653-8f8e-ba32a33ab4f4	Hospital	H2 Inscripción	Común	13	Si el municipio NO es Guatemala 0101	NULL			NULL	6	19	1	1	Checkpoint
d28a7d00-332e-485c-931e-be319b37f3bb	Hospital	H2 Inscripción	Común	13.1	Anote la comunidad del paciente	Debe ingresar el nombre de la COMUNIDAD en donde reside el paciente.			comunidad	6	20	2	1	Question
fc019131-9d07-46ba-beef-7d8a5d9b5c30	Hospital	H2 Inscripción	Común	14	Si el municipio es Guatemala 0101	NULL			NULL	6	21	1	1	Checkpoint
40bdb28e-bf43-4075-a28d-813b943ef7b4	Hospital	H2 Inscripción	Común	14.1	Anote la zona del paciente	NULL			zonaGuatemala	6	22	2	1	Question
854f367f-7aca-42a5-8a98-66d790304eca	Hospital	H2 Inscripción	Común	15	Durante esta enfermedad ¿ha tenido o tiene fiebre o calentura?	NULL			sintomasFiebre	6	23	1	1	Question
69d2eb37-33f9-4f36-a3ef-662a62519315	Hospital	H2 Inscripción	Común	16	Si tiene o ha tenido fiebre o calentura	NULL			NULL	6	24	1	1	Checkpoint
70f5135a-438c-4ef5-936b-55d1d2b3ac00	Hospital	H2 Inscripción	Común	16.1	¿Pudo usted medir su temperatura?	NULL			sintomasFiebrePudoMedirTemp	6	25	2	1	Question
610d6661-b220-4825-9723-662efff7401b	Hospital	H2 Inscripción	Común	16.2	Si pudo medir su temperatura	NULL			NULL	6	26	2	1	Checkpoint
8aca3f40-dfe9-4570-9871-c9338c35a237	Hospital	H2 Inscripción	Común	16.2.1	¿Cuál fue su temperatura (ºC)?	NULL			sintomasFiebreTemperatura	6	27	3	1	Question
846d2921-0f5b-4c5b-86dc-97258296ca6e	Hospital	H2 Inscripción	Común	16.3	¿En qué fecha empezó la fiebre o calentura?	NULL			sintomasFiebreFechaInicio	6	28	2	1	Question
bc2043ba-7529-4986-ad1d-1077ccd93a69	Hospital	H2 Inscripción	Común	17	Si paciente tiene menos de 5 años	NULL			NULL	6	29	1	1	Checkpoint
c7ce6de9-f450-4c5e-870c-fe1de24c455c	Hospital	H2 Inscripción	Común	17.1	PREGUNTE: "¿Su hijo/hija lo vomita todo?"	NULL			ninioVomitaTodo	6	30	2	1	Question
